config,N,K,task,trial,point_idx,tau,val_nrmse,test_nrmse,val_score,test_score
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,3,0.20574746894441603,0.9630287446990619,0.9482420382703719,-0.9630287446990619,-0.9482420382703719
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,4,0.28189194928259564,0.9587786831430937,0.9310518966048223,-0.9587786831430937,-0.9310518966048223
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,5,0.38621651813276453,0.9347988149610988,0.9408056584290512,-0.9347988149610988,-0.9408056584290512
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,6,0.529150262212918,0.9313784282782658,0.9665254812124534,-0.9313784282782658,-0.9665254812124534
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,7,0.7249819385087718,0.9363080074211634,0.9443712681157919,-0.9363080074211634,-0.9443712681157919
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,8,0.9932883883792685,0.9437874276963063,0.9774931971310945,-0.9437874276963063,-0.9774931971310945
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,9,1.3608915892697748,0.9703041080675414,0.9576550401646464,-0.9703041080675414,-0.9576550401646464
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,10,1.864539985982451,0.9896579921802681,0.9728368640777632,-0.9896579921802681,-0.9728368640777632
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,11,2.554582148011408,0.9844020852423897,0.9794616502865461,-0.9844020852423897,-0.9794616502865461
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,12,3.5,0.9779567732315727,0.9785667970740675,-0.9779567732315727,-0.9785667970740675
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,0,0.07999999999999999,1.0089581288679548,0.9013134042581753,-1.0089581288679548,-0.9013134042581753
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,1,0.1096069665318704,1.0191069102836725,0.9055384796556001,-1.0191069102836725,-0.9055384796556001
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,2,0.15017108890398193,1.0336718573037351,0.9183571408723503,-1.0336718573037351,-0.9183571408723503
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,3,0.20574746894441603,1.0383134388852349,0.9430085939146804,-1.0383134388852349,-0.9430085939146804
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,4,0.28189194928259564,1.034425013414275,0.967433291398102,-1.034425013414275,-0.967433291398102
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,5,0.38621651813276453,1.0309312771772492,0.9608258658194387,-1.0309312771772492,-0.9608258658194387
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,6,0.529150262212918,1.022501854534612,0.9099092985425998,-1.022501854534612,-0.9099092985425998
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,7,0.7249819385087718,1.0256165141505498,0.877524459432285,-1.0256165141505498,-0.877524459432285
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,8,0.9932883883792685,1.0289404380523404,0.9093692765574298,-1.0289404380523404,-0.9093692765574298
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,9,1.3608915892697748,1.035598937138086,0.932724762916787,-1.035598937138086,-0.932724762916787
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,10,1.864539985982451,1.0526925996065528,0.9242685752249319,-1.0526925996065528,-0.9242685752249319
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,11,2.554582148011408,1.055838011555829,0.9223344655224657,-1.055838011555829,-0.9223344655224657
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,12,3.5,1.0433060135875687,0.9285903126157018,-1.0433060135875687,-0.9285903126157018
N60_K13_baseline,60,13,memory_d10,0,0,0.07999999999999999,0.8329356618453964,0.7983752605511838,-0.8329356618453964,-0.7983752605511838
N60_K13_baseline,60,13,memory_d10,0,1,0.1096069665318704,0.8393666303290663,0.8057688507103128,-0.8393666303290663,-0.8057688507103128
